Book Part,Rule Number,Food Selection,Testable with BLS database,Included
what should i eat,1,yes,no,
what should I eat,2,yes,yes,yes
what should I eat,3,yes,no,
what should I eat,4,yes,no,
what should I eat,5,yes,no,
what should I eat,6,yes,no,
what should I eat,7,yes,no,
what should I eat,8,yes,no,
what should I eat,9,yes,no,
what should I eat,10,yes,no,
what should I eat,11,yes,no,
what should I eat,12,no,,
what should I eat,13,yes,no,
what should I eat,14,yes,no,
what should I eat,15,no,,
what should I eat,16,no,,
what should I eat,17,yes,no,
what should I eat,18,yes,no,
what should I eat,19,yes,no,
what should I eat,20,no,,
what should I eat,21,yes,no,
what kind of food should I eat,22,no,,
what kind of food should I eat,23,no,,
what kind of food should I eat,24,yes,yes,yes
what kind of food should I eat,25,no,,
what kind of food should I eat,26,no,,
what kind of food should I eat,27,yes,no,
what kind of food should I eat,28,no,,
what kind of food should I eat,29,no,,
what kind of food should I eat,30,yes,no,
what kind of food should I eat,31,yes,yes,yes
what kind of food should I eat,32,yes,no,
what kind of food should I eat,33,yes,no,
what kind of food should I eat,34,no,,
what kind of food should I eat,35,yes,yes,yes
what kind of food should I eat,36,yes,no,
what kind of food should I eat,37,yes,yes,yes
what kind of food should I eat,38,yes,no,
what kind of food should I eat,39,no,,
what kind of food should I eat,40,no,,
what kind of food should I eat,41,no,,
what kind of food should I eat,42,yes,no,
what kind of food should I eat,43,no,,
how should I eat,44,no,,
how should I eat,45,no,,
how should I eat,46,no,,
how should I eat,47,no,,
how should I eat,48,no,,
how should I eat,49,no,,
how should I eat,50,no,,
how should I eat,51,no,,
how should I eat,52,no,,
how should I eat,53,no,,
how should I eat,54,no,,
how should I eat,55,no,,
how should I eat,56,yes,no,
how should I eat,57,no,,
how should I eat,58,no,,
how should I eat,59,no,,
how should I eat,60,no,,
how should I eat,61,no,,
how should I eat,62,no,,
how should I eat,63,no,,
how should I eat,64,no,,